nombre_est,manzana,area,unidades,barrios,seccion
ALMAFUERTE,037,1051.0,0,BOEDO,032
AMIGUITOS,028,435.9,4,ALMAGRO,036
APRENDEMOS A CRECER,008,8592.2,0,ALMAGRO,028
BACH. CON ORIENTACION ARTISTICA N┬║01 ANTONIO BERNI DE 08,061,199.5,9,ALMAGRO,036
CARLOS JAVIER BENIELLI,026,663.7,0,ALMAGRO,013
CENS N┬║ 11 DE 03,017,283.6,3,BOEDO,036
CENS N┬║ 27 DE 03,017,283.6,3,BOEDO,036
CENS N┬║ 35 DE 07,038,295.9,0,ALMAGRO,017
CENS N┬║ 92 DE 07,038,295.9,0,ALMAGRO,017
CENTRO ACTIVIDADES INFANTILES Y JUVENILES,080,765.4,15,ALMAGRO,017
Centro de Educaci├│n Creativa La Aldea del Buen Ayre,022,255.9,0,BOEDO,036
CENTRO DE EDUCACI├ôN CREATIVA LA ALDEA DEL BUEN AYRE,022,255.9,0,BOEDO,036
CENTRO DE ESTUDIOS NUEVA VIDA,142,207.1,10,CABALLITO,045
CENTRO DON BOSCO,046,429.5,15,ALMAGRO,036
CENTRO EDUCATIVO DE NIVEL PRIMARIO,001,831.9,35,ALMAGRO,017
CENTRO EDUCATIVO DE NIVEL PRIMARIO,013,3474.8,0,ALMAGRO,013
CENTRO EDUCATIVO DE NIVEL PRIMARIO,038,295.9,0,ALMAGRO,017
CENTRO EDUCATIVO DE NIVEL SECUNDARIO N┬░ 37 anexo,038,295.9,0,ALMAGRO,017
CENTRO LAMBARE,013,484.7,0,ALMAGRO,017
CENTRO PSICOPEDAGOGICO ACUARELA,032,658.5,9,ALMAGRO,017
CENTRO RAWSON,038,295.9,0,ALMAGRO,017
CFP INST. AMERICANO DE MOTORES,032,938.3,0,ALMAGRO,013
CFP N┬║ 034 PROF. ROBERTO H. ALBERGUCCI,084,13396.6,0,ALMAGRO,036
CFP N┬║ 08 DE 06,010,255.3,0,BOEDO,030
CFP N┬║ 17 DE 07 (CAMARA ARG. DE LA CONTRUC.),038,295.9,0,ALMAGRO,017
CFP N┬║ 29 DE 02,056,379.0,4,ALMAGRO,017
CFP N┬║ 30 DE 06,017,283.6,3,BOEDO,036
COLEGIO DE LAS VICTORIAS,024,286.3,35,BOEDO,036
COLEGIO GALILEO GALILEI,048,374.1,0,ALMAGRO,017
COLEGIO N┬║ 10 JOSE DE SAN MARTIN DE 08,061,199.5,9,ALMAGRO,036
CONSERV.DE MUSICA DE LA CIUDAD DE BS AS ASTOR PIAZZOLA,038,3231.1,0,ALMAGRO,013
CONSERVATORIO SUP.DE MUSICA MANUEL DE FALLA,038,3231.1,0,ALMAGRO,013
CREMA Y CHOCOLATE,093,3908.2,0,BOEDO,036
CURSOS ESPECIALES,055,2883.5,0,BOEDO,036
DR. ALEJANDRO CARBO,003,358.7,15,ALMAGRO,013
DR. JOSE MARIA RAMOS MEJIA,046,429.5,15,ALMAGRO,036
DULCE ESPERA,012,160.2,0,ALMAGRO,017
ESC. CENTRAL DE ESP. PARAMEDICAS CRUZ ROJA ARGENT.,023,421.9,0,ALMAGRO,028
ESC. DE COM. N┬║ 22 GUSTAVO MARTINEZ ZUVIRIA DE 06,035,302.9,0,BOEDO,036
ESC. DE EDUC. MEDIA N┬║ 01 DE 02,003,358.7,15,ALMAGRO,013
ESC. TEC. N┬║ 29 RECONQUISTA DE BUENOS AIRES DE 06,129,288.2,0,BOEDO,036
ESC. TEC. N┬║ 30 NORBERTO PINERO DE 02,097,3198.2,0,ALMAGRO,017
ESC.SUP.DE EDUC. ARTISTICA EN DANZA N┬║ 1 NELLY RAMICONE,099,431.3,9,ALMAGRO,017
ESC.SUP.DE EDUC.ARTISTICA EN CERAMICA N┬║ 01 DE 02,099,431.3,9,ALMAGRO,017
ESC.SUP.DE EDUC.ARTISTICA EN DANZA AIDA VICTORIA MASTRAZZI DE 01,027,492.5,24,ALMAGRO,017
ESC.SUP.DE EDUC.ARTISTICA EN DANZA AIDA VICTORIA MASTRAZZI DE 01,046,429.5,15,ALMAGRO,036
ESCUELA DOMICILIARIA N┬║ 02 DE 12,069,575.6,0,BOEDO,036
ESCUELA GENERACION DEL FUTURO,093,108.6,0,BOEDO,036
"ESCUELA INFANTIL ""LA VACA HUMAHUACA""",061,205.1,15,ALMAGRO,017
ESCUELA INFANTIL AMANECER,079,340.1,3,ALMAGRO,036
ESCUELA INFANTIL CYBERPIBES,092,230.4,4,BOEDO,036
ESCUELA METROPOLITANA DE ALTOS ESTUDIOS,093,420.8,0,ALMAGRO,017
ESCUELA TECNICA ORT 01,005,3103.4,0,ALMAGRO,017
EXO TRAINING CENTER,034,798.4,0,BOEDO,032
FAMILIA MENUDA,137,910.9,83,ALMAGRO,036
FLORENCIO BALCARCE,072,356.4,0,ALMAGRO,017
FUNDACION GUTENBERG INST. ARG. DE ARTES GRAFICAS,014,17676.8,0,ALMAGRO,036
FX PRIMERA ESC. ARG. DE EFECTOS ESPECIALES,093,681.2,0,VILLA CRESPO,031
GENERAL BELGRANO,027,492.5,24,ALMAGRO,017
GRAL. MANUEL BELGRANO,027,492.5,24,ALMAGRO,017
